"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"5431",5431,BMW X3 xDrive 30i M Sport,68900,04.2023,12'000,245,Automatikgetriebe,Benzin,8134 Adliswil,2023-11-22,BMW ,X3 ,X3 xDrive ,,FALSE
"5432",5432,MINI Cooper S Brighton Cabrio,27900,12.2019,65'000,192,Automatikgetriebe,Benzin,8134 Adliswil,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"5433",5433,BMW X3 xDrive 30e M Sport,53900,08.2021,15'000,184,Automatikgetriebe,Hybrid,8134 Adliswil,2023-11-22,BMW ,X3 ,X3 xDrive ,,FALSE
"5434",5434,MINI Cooper S Cabriolet DKG,35900,05.2022,20'500,178,Automatikgetriebe,Benzin,8134 Adliswil,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"5435",5435,BMW X4 xDrive 48V 30i M Sport,69900,04.2023,16'000,245,Automatikgetriebe,Benzin,8134 Adliswil,2023-11-22,BMW ,X4 ,X4 xDrive ,,FALSE
"5436",5436,BMW X2 xDrive 25e M Sport,35900,11.2020,44'500,125,Automatikgetriebe,Hybrid,8134 Adliswil,2023-11-22,BMW ,X2 ,X2 xDrive ,,FALSE
"5437",5437,BMW M760e xDrive Steptronic,179900,Neues Fahrzeug,11,381,Automatikgetriebe,Hybrid,3172 Bern-Niederwangen,2023-11-22,BMW ,M760e ,M760e xDrive ,,FALSE
"5438",5438,HYUNDAI Ioniq 5 77kWh Origo 2WD,50230,Vorführmodell,6'500,229,Automatikgetriebe,Elektro,4053 Basel,2023-11-22,HYUNDAI ,Ioniq ,Ioniq 5 ,,FALSE
"5439",5439,HYUNDAI Kona 1.6 T-GDi Vertex 4WD DCT,38580,Vorführmodell,8'500,198,Automatikgetriebe,Benzin,4053 Basel,2023-11-22,HYUNDAI ,Kona ,Kona 1.6 ,,FALSE
"5440",5440,HYUNDAI i20 1.0 T-GDi Amplia 48V MH DCT,26300,Vorführmodell,6'500,120,Automatikgetriebe,Benzin,4053 Basel,2023-11-22,HYUNDAI ,i20 ,i20 1.0 ,,FALSE
