"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"6837",6837,MERCEDES-BENZ T-Klasse 180D Style Automat,38900,Neues Fahrzeug,50,116,Automatikgetriebe,Diesel,1227 Carouge,2023-11-18,MERCEDES-BENZ ,T-Klasse ,T-Klasse 180D ,,FALSE
"6838",6838,"HYUNDAI Ioniq 5 MJ23 77,4kWh 4WD UNIQ *Panoramadach*",58100,Neues Fahrzeug,20,325,Automatikgetriebe,Elektro,9642 Ebnat-Kappel SG,2023-11-18,HYUNDAI ,Ioniq ,Ioniq 5 ,,FALSE
"6839",6839,AUDI SQ5 3.0 TDI quattro tiptronic,25980,02.2014,144'980,313,Automatikgetriebe,Diesel,8494 Bauma,2023-11-18,AUDI ,SQ5 ,SQ5 3.0 ,,FALSE
"6840",6840,MAZDA CX-30 2.0 186 Ambition Plus AWD,36116,02.2022,9'800,186,Automatikgetriebe,Benzin,4460 Gelterkinden,2023-11-18,MAZDA ,CX-30 ,CX-30 2.0 ,,FALSE
"6841",6841,"TOYOTA HI-LUX 2,4 DC 4x4, comfort, AHK 3,5 Tonnen inklusive !!!",40990,Vorführmodell,3'000,150,Handschaltung,Diesel,9114 Hoffeld,2023-11-18,TOYOTA ,HI-LUX ,"HI-LUX 2,4 ",,FALSE
"6842",6842,MERCEDES-BENZ V 170 Limousine,36000,07.1952,48'253,52,Handschaltung,Benzin,6014 Luzern,2023-11-18,MERCEDES-BENZ ,V ,V 170 ,,FALSE
"6843",6843,BMW X3 xDrive 20d Individual M Sport Steptronic,48000,12.2019,30'000,190,Automatikgetriebe,Diesel,6403 Küssnacht,2023-11-18,BMW ,X3 ,X3 xDrive ,,FALSE
"6844",6844,LAND ROVER Range Rover 3.0 SDV6 HSE Automatic,115850,02.2021,23'500,275,Automatikgetriebe,Diesel,6340 Baar,2023-11-18,LAND ,ROVER ,ROVER Range ,,FALSE
"6845",6845,BMW M3 Coupé,39946,10.2003,10'000,343,Automatikgetriebe,Benzin,5512 Wohlenschwil,2023-11-18,BMW ,M3 ,M3 ,,FALSE
"6846",6846,CHEVROLET Corvette Coupé Z06 3LZ Automatic,149999,01.2018,8'500,660,Automatikgetriebe,Benzin,3855 Schwanden,2023-11-18,CHEVROLET ,Corvette ,Corvette Coupé ,,FALSE
